k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
84.0	116.0	164.0	48.0	10.0	5.0	0.8	0.3	false	false
208.0	275.0	206.0	77.0	6.0	7.0	0.9	0.7	false	false
118.0	88.0	232.0	77.0	5.0	10.0	0.9	0.9	false	false
227.0	290.0	221.0	74.0	6.0	45.0	0.2	0.3	false	false
214.0	280.0	62.0	66.0	9.0	74.0	0.3	0.7	false	false
175.0	139.0	130.0	18.0	7.0	42.0	0.2	0.8	false	false
220.0	229.0	233.0	33.0	6.0	69.0	0.6	0.2	false	false
221.0	225.0	273.0	66.0	7.0	47.0	0.5	0.7	false	false
276.0	129.0	274.0	16.0	8.0	35.0	0.6	0.8	false	false
134.0	277.0	103.0	42.0	9.0	12.0	0.8	0.1	false	false
118.0	292.0	262.0	65.0	8.0	71.0	0.8	0.6	false	false
289.0	110.0	148.0	58.0	7.0	63.0	0.8	0.8	false	false
276.0	76.0	167.0	26.0	9.0	99.0	0.2	0.3	false	false
169.0	231.0	259.0	46.0	10.0	95.0	0.1	0.4	false	false
53.0	266.0	100.0	62.0	8.0	138.0	0.3	0.9	false	false
79.0	147.0	128.0	77.0	10.0	170.0	0.6	0.1	false	false
209.0	131.0	173.0	64.0	8.0	105.0	0.6	0.6	false	false
194.0	103.0	86.0	48.0	6.0	125.0	0.6	0.9	false	false
200.0	79.0	106.0	51.0	5.0	125.0	0.8	0.1	false	false
244.0	55.0	61.0	56.0	10.0	167.0	0.8	0.4	false	false
261.0	172.0	124.0	12.0	6.0	81.0	0.9	0.8	false	false
211.0	167.0	119.0	27.0	42.0	10.0	0.2	0.1	false	false
221.0	108.0	209.0	59.0	15.0	5.0	0.1	0.5	false	false
209.0	272.0	58.0	24.0	52.0	10.0	0.2	0.9	false	false
96.0	118.0	210.0	70.0	15.0	9.0	0.6	0.3	false	false
52.0	153.0	104.0	56.0	67.0	6.0	0.7	0.4	false	false
188.0	124.0	127.0	50.0	46.0	6.0	0.6	0.8	false	false
293.0	157.0	147.0	19.0	62.0	10.0	0.8	0.1	false	false
86.0	269.0	259.0	36.0	35.0	10.0	0.8	0.5	false	false
91.0	175.0	164.0	16.0	59.0	6.0	0.8	0.9	false	false
