k_x	k_y	k_z	k_A	k_B	k_C	damp_t	damp_r	success	partialSuccess	
193.0	81.0	282.0	45.0	7.0	6.0	0.9	0.1	false	false
210.0	247.0	198.0	29.0	10.0	8.0	0.8	0.5	false	false
164.0	86.0	288.0	23.0	7.0	5.0	0.8	0.8	false	false
85.0	209.0	159.0	16.0	9.0	24.0	0.1	0.2	false	false
217.0	81.0	143.0	27.0	8.0	45.0	0.2	0.4	false	false
81.0	161.0	68.0	80.0	8.0	74.0	0.1	0.8	false	false
155.0	236.0	241.0	46.0	10.0	29.0	0.7	0.2	false	false
130.0	233.0	237.0	57.0	7.0	44.0	0.4	0.4	false	false
145.0	151.0	156.0	58.0	5.0	55.0	0.6	0.9	false	false
293.0	60.0	117.0	16.0	7.0	13.0	0.9	0.1	false	false
194.0	54.0	188.0	33.0	8.0	31.0	0.8	0.5	false	false
289.0	220.0	113.0	50.0	6.0	73.0	0.8	0.8	false	false
266.0	220.0	127.0	21.0	5.0	199.0	0.1	0.2	false	false
169.0	205.0	161.0	54.0	6.0	82.0	0.2	0.4	false	false
154.0	270.0	226.0	72.0	8.0	174.0	0.1	0.8	false	false
118.0	153.0	104.0	55.0	10.0	117.0	0.5	0.1	false	false
190.0	124.0	282.0	68.0	8.0	170.0	0.5	0.5	false	false
133.0	138.0	138.0	72.0	9.0	187.0	0.7	0.8	false	false
68.0	56.0	200.0	26.0	7.0	139.0	0.9	0.2	false	false
204.0	117.0	68.0	15.0	8.0	88.0	0.8	0.5	false	false
148.0	223.0	179.0	11.0	8.0	170.0	0.8	0.9	false	false
182.0	269.0	263.0	59.0	31.0	7.0	0.3	0.2	false	false
197.0	164.0	115.0	48.0	47.0	5.0	0.2	0.4	false	false
86.0	137.0	96.0	62.0	49.0	7.0	0.3	0.8	false	false
119.0	238.0	88.0	56.0	13.0	6.0	0.5	0.3	false	false
288.0	166.0	160.0	68.0	21.0	10.0	0.6	0.6	false	false
92.0	296.0	290.0	48.0	34.0	8.0	0.7	0.8	false	false
259.0	277.0	228.0	56.0	55.0	10.0	0.9	0.1	false	false
159.0	277.0	227.0	39.0	11.0	9.0	0.9	0.6	false	false
156.0	173.0	178.0	36.0	35.0	7.0	0.9	0.9	false	false
196.0	95.0	89.0	47.0	21.0	75.0	0.1	0.3	false	true
151.0	269.0	81.0	60.0	76.0	46.0	0.1	0.5	false	false
130.0	246.0	251.0	30.0	43.0	62.0	0.1	0.9	false	true
163.0	88.0	275.0	63.0	24.0	35.0	0.6	0.3	false	false
187.0	296.0	102.0	14.0	13.0	21.0	0.4	0.4	false	false
157.0	147.0	141.0	69.0	68.0	52.0	0.7	0.9	false	false
176.0	77.0	235.0	19.0	75.0	71.0	0.9	0.1	false	true
131.0	268.0	224.0	73.0	60.0	31.0	0.8	0.5	false	false
178.0	152.0	51.0	61.0	47.0	44.0	0.9	0.9	false	false
157.0	165.0	216.0	49.0	36.0	126.0	0.3	0.1	false	true
218.0	107.0	118.0	37.0	79.0	129.0	0.3	0.6	false	true
225.0	89.0	247.0	64.0	39.0	118.0	0.1	0.9	false	true
132.0	52.0	216.0	75.0	46.0	105.0	0.5	0.1	false	true
198.0	85.0	287.0	48.0	71.0	113.0	0.5	0.5	false	true
288.0	168.0	211.0	38.0	24.0	174.0	0.5	0.8	false	true
72.0	288.0	195.0	34.0	44.0	162.0	0.9	0.2	false	true
245.0	114.0	208.0	36.0	80.0	134.0	0.8	0.4	false	true
212.0	177.0	229.0	33.0	17.0	146.0	0.8	0.8	false	true
93.0	51.0	209.0	46.0	113.0	6.0	0.2	0.1	false	false
251.0	269.0	69.0	47.0	89.0	5.0	0.2	0.6	false	false
187.0	126.0	183.0	66.0	112.0	7.0	0.3	0.9	false	false
157.0	94.0	102.0	25.0	104.0	9.0	0.4	0.3	false	false
172.0	177.0	293.0	75.0	192.0	8.0	0.6	0.7	false	false
168.0	185.0	179.0	45.0	174.0	5.0	0.7	0.9	false	false
263.0	166.0	217.0	60.0	122.0	8.0	0.8	0.2	false	false
225.0	149.0	100.0	26.0	177.0	6.0	0.9	0.7	false	false
141.0	95.0	297.0	53.0	190.0	9.0	0.8	0.8	false	false
71.0	204.0	111.0	65.0	123.0	51.0	0.3	0.2	false	true
94.0	289.0	197.0	38.0	90.0	67.0	0.2	0.5	false	true
134.0	207.0	259.0	32.0	111.0	53.0	0.2	0.9	false	true
153.0	73.0	174.0	49.0	118.0	60.0	0.6	0.2	false	true
67.0	271.0	77.0	11.0	163.0	42.0	0.6	0.6	false	false
90.0	219.0	111.0	27.0	115.0	57.0	0.6	0.9	false	true
264.0	120.0	258.0	54.0	188.0	79.0	0.8	0.1	false	true
